,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
0,108105.0,2017-12-19,SPX 180216C1100000,1,2018-02-16,2017-12-07,C,1100000.0,1577.0,1583.4,0.0,15.0,0.953218,0.992118,1.6e-05,17.08679,-30.30293,117778348.0,1.0,0,,
1,108105.0,2017-12-19,SPX 180216C1200000,1,2018-02-16,,C,1200000.0,1477.3,1483.8,0.0,0.0,0.871385,0.991329,1.9e-05,19.20515,-33.30611,117778349.0,1.0,0,,
2,108105.0,2017-12-19,SPX 180216C1300000,1,2018-02-16,,C,1300000.0,1377.7,1384.1,0.0,0.0,0.795516,0.99044,2.4e-05,21.54898,-36.18243,117778350.0,1.0,0,,
3,108105.0,2017-12-19,SPX 180216C1325000,1,2018-02-16,,C,1325000.0,1352.8,1359.2,0.0,0.0,0.777923,0.990168,2.5e-05,22.25759,-37.12223,117778351.0,1.0,0,,
4,108105.0,2017-12-19,SPX 180216C1350000,1,2018-02-16,,C,1350000.0,1327.9,1334.3,0.0,0.0,0.760595,0.989887,2.6e-05,22.98607,-38.05019,117778352.0,1.0,0,,
5,108105.0,2017-12-19,SPX 180216C1375000,1,2018-02-16,,C,1375000.0,1303.0,1309.4,0.0,0.0,0.74352,0.989596,2.8e-05,23.73529,-38.96608,117778353.0,1.0,0,,
6,108105.0,2017-12-19,SPX 180216C1400000,1,2018-02-16,,C,1400000.0,1278.1,1284.5,0.0,0.0,0.726689,0.989295,3e-05,24.50616,-39.86967,117778354.0,1.0,0,,
7,108105.0,2017-12-19,SPX 180216C1425000,1,2018-02-16,,C,1425000.0,1253.2,1259.6,0.0,0.0,0.710091,0.988983,3.1e-05,25.29967,-40.7607,117778355.0,1.0,0,,
8,108105.0,2017-12-19,SPX 180216C1450000,1,2018-02-16,,C,1450000.0,1228.3,1234.7,0.0,0.0,0.693717,0.98866,3.3e-05,26.11686,-41.63891,117778356.0,1.0,0,,
9,108105.0,2017-12-19,SPX 180216C1475000,1,2018-02-16,2017-12-07,C,1475000.0,1203.4,1209.8,0.0,15.0,0.677559,0.988326,3.5e-05,26.95885,-42.50401,117778357.0,1.0,0,,
10,108105.0,2017-12-19,SPX 180216C1500000,1,2018-02-16,,C,1500000.0,1178.5,1184.9,0.0,0.0,0.661608,0.987979,3.7e-05,27.82684,-43.35568,117778358.0,1.0,0,,
11,108105.0,2017-12-19,SPX 180216C1525000,1,2018-02-16,,C,1525000.0,1153.6,1160.0,0.0,0.0,0.645856,0.98762,3.9e-05,28.72211,-44.1936,117778359.0,1.0,0,,
12,108105.0,2017-12-19,SPX 180216C1550000,1,2018-02-16,,C,1550000.0,1128.7,1135.1,0.0,0.0,0.630295,0.987246,4.1e-05,29.64604,-45.01741,117778360.0,1.0,0,,
13,108105.0,2017-12-19,SPX 180216C1575000,1,2018-02-16,,C,1575000.0,1103.9,1110.2,0.0,0.0,0.616543,0.986703,4.4e-05,30.98093,-46.72034,117778361.0,1.0,0,,
14,108105.0,2017-12-19,SPX 180216C1600000,1,2018-02-16,,C,1600000.0,1079.0,1085.3,0.0,0.0,0.601294,0.986296,4.7e-05,31.9726,-47.50753,117778362.0,1.0,0,,
15,108105.0,2017-12-19,SPX 180216C1625000,1,2018-02-16,,C,1625000.0,1054.1,1060.4,0.0,0.0,0.586216,0.985873,4.9e-05,32.99789,-48.27934,117778363.0,1.0,0,,
16,108105.0,2017-12-19,SPX 180216C1650000,1,2018-02-16,,C,1650000.0,1029.2,1035.5,0.0,0.0,0.571303,0.985433,5.2e-05,34.05869,-49.03531,117778364.0,1.0,0,,
17,108105.0,2017-12-19,SPX 180216C1675000,1,2018-02-16,,C,1675000.0,1004.3,1010.7,0.0,0.0,0.557964,0.984806,5.6e-05,35.55893,-50.63537,117778365.0,1.0,0,,
18,108105.0,2017-12-19,SPX 180216C1700000,1,2018-02-16,,C,1700000.0,979.4,985.8,0.0,0.0,0.543318,0.984324,5.9e-05,36.70348,-51.35064,117778366.0,1.0,0,,
19,108105.0,2017-12-19,SPX 180216C1725000,1,2018-02-16,,C,1725000.0,954.6,960.9,0.0,0.0,0.530133,0.983645,6.3e-05,38.30222,-52.89025,117778367.0,1.0,0,,
20,108105.0,2017-12-19,SPX 180216C1750000,1,2018-02-16,,C,1750000.0,929.7,936.0,0.0,0.0,0.515736,0.983115,6.7e-05,39.54082,-53.56214,117778368.0,1.0,0,,
21,108105.0,2017-12-19,SPX 180216C1775000,1,2018-02-16,,C,1775000.0,904.8,911.1,0.0,0.0,0.501476,0.982561,7.1e-05,40.82721,-54.21462,117778369.0,1.0,0,,
22,108105.0,2017-12-19,SPX 180216C1800000,1,2018-02-16,2017-11-03,C,1800000.0,879.9,886.3,0.0,1.0,0.488529,0.981794,7.6e-05,42.59494,-55.66376,117778370.0,1.0,0,,
23,108105.0,2017-12-19,SPX 180216C1810000,1,2018-02-16,,C,1810000.0,870.0,876.3,0.0,0.0,0.483129,0.981515,7.8e-05,43.23414,-56.07013,117934811.0,1.0,0,,
24,108105.0,2017-12-19,SPX 180216C1820000,1,2018-02-16,,C,1820000.0,860.1,866.4,0.0,0.0,0.478877,0.981041,8.1e-05,44.315,-57.27705,117934812.0,1.0,0,,
25,108105.0,2017-12-19,SPX 180216C1825000,1,2018-02-16,,C,1825000.0,855.1,861.4,0.0,0.0,0.47562,0.980991,8.2e-05,44.42878,-57.07306,117778371.0,1.0,0,,
