date,exdate,fit_type,sigmaNTM,prob_40_perc,prob_2sigma,prob_5sigma,put_2sigma,put_5sigma,V,IV,D
2008-09-16,2008-10-18,"rho=0, grid",0.29084790909090913,0.0008785106106134962,4.995020612685387e-5,,0.0034163876672253304,,0.0974844252874222,0.09432424023331018,0.0031601850541120163
2008-09-16,2008-10-18,"rho=0, global",0.29084790909090913,0.0008785654576634318,5.004794476498345e-5,,0.003427352926276016,,0.0974856378593078,0.09432518218166187,0.003160455677645932
2008-09-16,2008-10-18,"VarRho, grid",0.29084790909090913,0.0008792365418170893,6.113369403875401e-5,,0.005022927531704011,,0.09763996722178174,0.09442969740920763,0.003210269812574107
2008-09-16,2008-10-18,"VarRho, global",0.29084790909090913,0.0008668719139042332,4.321996753523681e-5,,0.002790648831091258,,0.09708311106712933,0.09448159680464066,0.002601514262488669
2008-09-16,2008-10-18,Spline,0.29084790909090913,0.0008231590311962121,2.9242021142632174e-8,,3.9678191563840015e-7,,0.09723176552101578,0.09428131500678992,0.0029504505142258636
2008-09-17,2008-10-18,"rho=0, grid",0.34791604761904754,0.0019356402748541472,1.8272522213875147e-6,,5.786105394793399e-5,,0.14193880192889874,0.1363787921072009,0.0055600098216978255
2008-09-17,2008-10-18,"rho=0, global",0.34791604761904754,0.0019359594810556284,1.8298619907744848e-6,,5.7954832416173786e-5,,0.14193704258383785,0.13637711747286152,0.005559925110976333
2008-09-17,2008-10-18,"VarRho, grid",0.34791604761904754,0.0019616470317544298,2.3306468860787514e-6,,7.671172626814949e-5,,0.14254039253188097,0.1382202497068762,0.004320142825004758
2008-09-17,2008-10-18,"VarRho, global",0.34791604761904754,0.001970760509097273,2.581669492152865e-6,,8.646465994008811e-5,,0.14377844374877527,0.14875724337103774,-0.00497879962226247
2008-09-17,2008-10-18,Spline,0.34791604761904754,0.00342395792152583,7.009176174047782e-11,,6.534773823309152e-10,,0.1411835981250867,0.13582876249640397,0.005354835628682747
2008-09-18,2008-10-18,"rho=0, grid",0.30877004166666666,0.003160570172476541,0.00010205769057816657,,0.00561620876066124,,0.12722872968901017,0.11982606468136098,0.0074026650076491896
2008-09-18,2008-10-18,"rho=0, global",0.30877004166666666,0.0031605575307564076,0.00010205429974199856,,0.005615974196250206,,0.12722873489709366,0.11982607937532652,0.0074026555217671375
2008-09-18,2008-10-18,"VarRho, grid",0.30877004166666666,0.003157747009464505,0.00011391493965786124,,0.006513595540819539,,0.1313788204137836,0.19000973661647524,-0.058630916202691646
2008-09-18,2008-10-18,"VarRho, global",0.30877004166666666,0.0031615404044739066,0.00011524651292196856,,0.006611439601026586,,0.13102995029106565,0.18868684289777252,-0.05765689260670687
2008-09-18,2008-10-18,Spline,0.30877004166666666,-0.000700305690059508,4.155185855047387e-6,,7.972524672219508e-5,,0.1262272776103536,0.11922975461377344,0.006997522996580158
2008-09-19,2008-10-18,"rho=0, grid",0.2937872,0.0026060428417552135,0.00021926434293853062,,0.015791782025987133,,0.11513841141032992,0.10855159523050344,0.006586816179826482
2008-09-19,2008-10-18,"rho=0, global",0.2937872,0.0026060433802067217,0.00021925668669648993,,0.01579097740321006,,0.11513826490130824,0.10855147100643472,0.006586793894873516
2008-09-19,2008-10-18,"VarRho, grid",0.2937872,0.002572645493327356,0.00024523530053074597,,0.019031187793360993,,0.11240088134105894,0.12142372627604704,-0.009022844934988103
2008-09-19,2008-10-18,"VarRho, global",0.2937872,0.0025752262119650943,0.00022363647685145178,,0.016547398492362503,,0.11197668176528972,0.1281381968958632,-0.016161515130573484
2008-09-19,2008-10-18,Spline,0.2937872,0.003381404211322611,1.8009113118429195e-5,,0.00040928278579502146,,0.11566909070380497,0.10922528748148717,0.006443803222317801
2008-09-22,2008-10-18,"rho=0, grid",0.3312349583333333,0.001805586994071003,2.186216820681354e-5,,0.0010844269053433483,,0.13368147296822086,0.1280422648538346,0.005639208114386257
2008-09-22,2008-10-18,"rho=0, global",0.3312349583333333,0.0018055833297039021,2.185974350180002e-5,,0.0010842769232292798,,0.13368135150299973,0.1280421418252198,0.005639209677779922
2008-09-22,2008-10-18,"VarRho, grid",0.3312349583333333,0.0017860788066992065,2.4355473984744513e-5,,0.0012624032407011418,,0.1321359924747875,0.14007935014745734,-0.007943357672669848
2008-09-22,2008-10-18,"VarRho, global",0.3312349583333333,0.0017859184369832777,2.435166459974352e-5,,0.0012622131727097509,,0.1321380708967315,0.14006928856469808,-0.007931217667966589
2008-09-22,2008-10-18,Spline,0.3312349583333333,6.32382784968712e-5,3.1833548398147004e-8,,4.3003145245960544e-7,,0.13409575456182798,0.12856701341813476,0.005528741143693228
2008-09-24,2008-11-22,"rho=0, grid",0.30969956521739134,0.004914047861530985,7.378717203495901e-5,,0.0032479723690703663,,0.11252939768794418,0.10774642486861223,0.004782972819331946
2008-09-24,2008-11-22,"rho=0, global",0.30969956521739134,0.004913938144856061,7.377725981881934e-5,,0.003247438654301403,,0.11252937692169208,0.10774647751430229,0.004782899407389796
2008-09-24,2008-11-22,"VarRho, grid",0.30969956521739134,0.004912302827496093,7.346408364247854e-5,,0.0032298361703361894,,0.11250991640300187,0.10771872548901597,0.004791190913985902
2008-09-24,2008-11-22,"VarRho, global",0.30969956521739134,0.004921531096946826,7.499434691009721e-5,,0.0033156440223402264,,0.11272855111966741,0.10819161665949177,0.00453693446017564
2008-09-24,2008-11-22,Spline,0.30969956521739134,0.003337218246046832,1.0048042794901895e-7,,1.4411829700586821e-6,,0.11101279338843942,0.10671926698189932,0.004293526406540099
2008-09-25,2008-11-22,"rho=0, grid",0.2938526956521739,0.0041322429518513585,0.00021833193536152442,,0.013460268143179577,,0.1012601704700808,0.09687608394161155,0.00438408652846925
2008-09-25,2008-11-22,"rho=0, global",0.2938526956521739,0.004132246231395508,0.0002183469348894676,,0.013461757904506544,,0.10126026326751959,0.09687614752288527,0.00438411574463432
2008-09-25,2008-11-22,"VarRho, grid",0.2938526956521739,0.004143988607353938,0.0002175342208830203,,0.013237013287166477,,0.10126208529956643,0.09688058780668375,0.004381497492882677
2008-09-25,2008-11-22,"VarRho, global",0.2938526956521739,0.004129880963881113,0.00022077634597227297,,0.013755164246271961,,0.10127278283404981,0.09688331022444424,0.004389472609605566
2008-09-25,2008-11-22,Spline,0.2938526956521739,0.004100589356636113,1.7074385529954774e-6,,3.0458030334401358e-5,,0.10023579682014935,0.09631880501497314,0.003916991805176212
2008-09-26,2008-11-22,"rho=0, grid",0.3047413913043478,0.005310661500715231,0.000386431608016161,,0.03651668981454903,,0.11349721910081471,0.10671454406775513,0.006782675033059585
2008-09-26,2008-11-22,"rho=0, global",0.3047413913043478,0.005310635881799114,0.00038641816062780535,,0.03651471339389012,,0.11349691418295642,0.10671447372097975,0.006782440461976666
2008-09-26,2008-11-22,"VarRho, grid",0.3047413913043478,0.005297257388327973,0.00041588276191108805,,0.04255086473473546,,0.11336240261037911,0.10688111273219644,0.006481289878182667
2008-09-26,2008-11-22,"VarRho, global",0.3047413913043478,0.005304345985046371,0.00038347509771719424,,0.03608772457310333,,0.11342862866792974,0.10669803363822086,0.00673059502970888
2008-09-26,2008-11-22,Spline,0.3047413913043478,0.006780712432052718,1.9369269363518663e-6,,3.507618153473146e-5,,0.11007150209604895,0.10524288399314148,0.004828618102907467
2008-09-29,2008-11-22,"rho=0, grid",0.4120793571428571,0.008992821689644846,8.767088402968469e-6,,0.0004436771997398496,,0.1910276730998834,0.18395941180851924,0.007068261291364147
2008-09-29,2008-11-22,"rho=0, global",0.4120793571428571,0.008995472060814169,8.830125082785716e-6,,0.0004475877143963417,,0.191035267758976,0.18396265091280636,0.007072616846169638
2008-09-29,2008-11-22,"VarRho, grid",0.4120793571428571,0.009068121845248963,0.00030150836512175605,,0.022543810203673548,,0.20365837435930817,0.18945242946773233,0.014205944891575839
2008-09-29,2008-11-22,"VarRho, global",0.4120793571428571,0.008791618009879517,0.0006956654264632176,,0.09144405579668202,,0.23892760741770874,0.19968559990353604,0.0392420075141727
2008-09-29,2008-11-22,Spline,0.4120793571428571,0.013972207919510675,5.537185057881271e-15,,2.9034231125799465e-14,,0.18817379967702969,0.1817952533670546,0.006378546309975086
2008-09-30,2008-11-22,"rho=0, grid",0.3466598636363636,0.007398680489346049,0.00022566801428492656,,0.020561521262125432,,0.14645374078563053,0.1366119098799548,0.009841830905675725
2008-09-30,2008-11-22,"rho=0, global",0.3466598636363636,0.007401948514771583,0.0002271398146181285,,0.020756125541127907,,0.14651333016711932,0.13662397279456565,0.00988935737255367
2008-09-30,2008-11-22,"VarRho, grid",0.3466598636363636,0.007287092193595347,0.00031957319030456727,,0.040329417579590965,,0.14948082829107273,0.13799893885425793,0.011481889436814802
2008-09-30,2008-11-22,"VarRho, global",0.3466598636363636,0.007288405970040551,0.0003023346851033322,,0.03653310728690107,,0.14871775435951198,0.13773448876983904,0.010983265589672941
2008-09-30,2008-11-22,Spline,0.3466598636363636,0.016248663348690334,1.8379297763750355e-7,,2.62878922046348e-6,,0.1420188763045645,0.13503714732096844,0.006981728983596058
