date,exdate,fit_type,sigmaNTM,prob_40_perc,prob_2sigma,prob_5sigma,put_2sigma,put_5sigma,V,IV,D,high_CDF
2017-02-08,2017-03-17,"rho=0, grid",0.10425054347826086,0.0002757983269800887,0.0028951623542725693,4.7813397772236425e-5,0.5319746813605768,0.006026140224100501,0.01639201407752055,0.01567829320475432,0.0007137208727662284,1.000004948745016
2017-02-08,2017-03-17,"rho=0, global",0.10425054347826086,0.0002757939136013798,0.0028952001657285894,4.781061558363567e-5,0.5319776349386025,0.006025658326998057,0.016391905270249644,0.015678193468829798,0.000713711801419846,1.0000049432831244
2017-02-08,2017-03-17,"VarRho, grid",0.10425054347826086,0.00027852406612516203,0.002895558318651379,5.33482057722809e-5,0.5293894930456133,0.007187119892808708,0.019160050121462255,0.033098254867923324,-0.01393820474646107,1.0040651872487931
2017-02-08,2017-03-17,"VarRho, global",0.10425054347826086,0.0002731923641409609,0.0028947383178568554,4.449307521775427e-5,0.5338389565559076,0.005407661926159005,0.016479406691810305,0.015755512358338237,0.0007238943334720686,0.999998999041213
2017-02-08,2017-03-17,Spline,0.10425054347826086,4.8683452024501984e-5,-0.009670677321148648,7.931883422170098e-9,0.5206666112690712,1.8350747140863296e-7,0.015631042495196607,0.014977776844102942,0.0006532656510936652,0.9999999999999999
2017-02-09,2017-03-17,"rho=0, grid",0.10207623913043476,0.00023758176991019736,0.00249248976757083,4.805281075772944e-5,0.4740660513647814,0.006115822295425816,0.015235988713401158,0.014663338666031714,0.0005726500473694444,0.9999518630401878
2017-02-09,2017-03-17,"rho=0, global",0.10207623913043476,0.00023756317338987295,0.0024926634614579647,4.8040746662913716e-5,0.47408112956325965,0.006113706880037206,0.015235409057487445,0.014662806360441831,0.0005726026970456141,0.9999517808254341
2017-02-09,2017-03-17,"VarRho, grid",0.10207623913043476,0.0002417310651964112,0.002489222769589981,5.626280484598734e-5,0.46876087760678686,0.007915760775368125,0.01215994541946861,0.10260656933189288,-0.09044662391242428,1.0123970886567255
2017-02-09,2017-03-17,"VarRho, global",0.10207623913043476,0.00024193944407862022,0.002487090404119019,5.644100017762031e-5,0.46858163096879224,0.007952647527439155,0.012063251407815884,0.1020919510888977,-0.0900286996810818,1.0122334343956971
2017-02-09,2017-03-17,Spline,0.10207623913043476,0.00017138675647855413,0.0057496667315619495,2.3665419503480105e-7,0.41045497266934206,6.743527623551647e-6,0.014597545687508226,0.014011990065231298,0.0005855556222769277,0.999999999996916
2017-02-10,2017-03-17,"rho=0, grid",0.10082815217391303,0.00020166155486673901,0.00240840473012808,4.1025946154453404e-5,0.44645187585112645,0.005027292314626827,0.01470415460799055,0.014192812254150611,0.0005113423538399397,0.9999087955073126
2017-02-10,2017-03-17,"rho=0, global",0.10082815217391303,0.00020164897790000158,0.0024085494309844884,4.101825998490869e-5,0.4464656004398666,0.005026003591184575,0.014703601199998464,0.014192293912606384,0.0005113072873920797,0.9999087072784197
2017-02-10,2017-03-17,"VarRho, grid",0.10082815217391303,0.000205912584889657,0.0023911299775061148,4.677317381263312e-5,0.4398351114552632,0.006169108471419382,0.016959693150927265,0.019833908987087347,-0.0028742158361600816,1.0019354747677167
2017-02-10,2017-03-17,"VarRho, global",0.10082815217391303,0.0002054916687619215,0.0023940557669938148,4.618211657921855e-5,0.44049949172813996,0.006045568094847076,0.016427800645890143,0.018138321511517147,-0.0017105208656270042,1.0013894123272966
2017-02-10,2017-03-17,Spline,0.10082815217391303,0.0001903631057600623,-0.0012898369600527644,4.5910431465699937e-7,0.37307396948340177,1.3692989012199764e-5,0.014109018686511644,0.013578591307185417,0.0005304273793262267,0.9999999987750265
2017-02-13,2017-03-17,"rho=0, grid",0.10072836956521738,0.00019782477323741505,0.001993084716219542,4.590582470004168e-5,0.393402582637421,0.0060516875431833594,0.014779060286809855,0.014257615701548765,0.0005214445852610907,0.9999624113038338
2017-02-13,2017-03-17,"rho=0, global",0.10072836956521738,0.000197820660305871,0.001993127215897254,4.5902239281261975e-5,0.3934079825825396,0.0060510063823165094,0.014778830419879175,0.014257407496702165,0.0005214229231770093,0.9999623803469408
2017-02-13,2017-03-17,"VarRho, grid",0.10072836956521738,0.0001985924280945715,0.002011595299965781,5.1352913907830034e-5,0.3898408127242128,0.007372201898425718,0.01923092346875698,0.04910643079995399,-0.02987550733119701,1.0060946968680962
2017-02-13,2017-03-17,"VarRho, global",0.10072836956521738,0.00019760245911499622,0.0019924001703153066,4.543980190318349e-5,0.39378709652111965,0.005952988300057138,0.014773096820461228,0.014239155545220379,0.0005339412752408488,0.9999606860154077
2017-02-13,2017-03-17,Spline,0.10072836956521738,0.00022121520251908107,0.004900849452999916,6.272573051835024e-7,0.39658044609372567,1.9234603435347832e-5,0.013836994317347282,0.013312784292558309,0.0005242100247889736,0.9999999999927774
2017-02-14,2017-03-17,"rho=0, grid",0.09709789130434782,0.00017000526415467153,0.0023908419834825015,4.280728736877317e-5,0.44729103691683036,0.005142785508647829,0.013470604956968729,0.013013110480105453,0.00045749447686327556,0.9997952157054838
2017-02-14,2017-03-17,"rho=0, global",0.09709789130434782,0.00017000196161680534,0.00239088027132587,4.280534061097425e-5,0.44729469899205654,0.0051424661467533855,0.013470453861345131,0.01301297571989141,0.000457478141453721,0.9997951660892834
2017-02-14,2017-03-17,"VarRho, grid",0.09709789130434782,0.00017539098892294507,0.002368221956474797,4.754615457805227e-5,0.44141220083340293,0.006028302750853892,0.0165402910188596,0.018931073793200647,-0.002390782774341047,1.0014799920878024
